[['Marino 2nd Floor', '68', '11/02/2022 11:10 PM'], ['Marino Gym', '46', '11/02/2022 10:37 PM'], ['Marino 3rd Floor Weights', '62', '11/02/2022 10:42 PM'], ['Marino 3rd Floor Cardio', '36', '11/02/2022 10:42 PM'], ['Marino Track', '6', '11/02/2022 09:57 PM'], ['Squashbusters', '22', '11/02/2022 10:01 PM']]
[]
[['Marino 2nd Floor', '6', '11/03/2022 05:52 AM'], ['Marino Gym', '1', '11/03/2022 05:52 AM'], ['Marino 3rd Floor Weights', '15', '11/03/2022 05:57 AM'], ['Marino 3rd Floor Cardio', '6', '11/03/2022 05:57 AM'], ['Marino Track', '2', '11/03/2022 05:48 AM'], ['Squashbusters', '22', '11/02/2022 10:01 PM']]
[['Marino 2nd Floor', '18', '11/03/2022 06:52 AM'], ['Marino Gym', '2', '11/03/2022 06:52 AM'], ['Marino 3rd Floor Weights', '31', '11/03/2022 06:42 AM'], ['Marino 3rd Floor Cardio', '11', '11/03/2022 06:42 AM'], ['Marino Track', '2', '11/03/2022 06:43 AM'], ['Squashbusters', '22', '11/02/2022 10:01 PM']]
[['Marino 2nd Floor', '24', '11/03/2022 07:50 AM'], ['Marino Gym', '3', '11/03/2022 07:50 AM'], ['Marino 3rd Floor Weights', '34', '11/03/2022 07:53 AM'], ['Marino 3rd Floor Cardio', '17', '11/03/2022 07:53 AM'], ['Marino Track', '5', '11/03/2022 07:53 AM'], ['Squashbusters', '22', '11/02/2022 10:01 PM']]
[['Marino 2nd Floor', '62', '11/03/2022 08:29 AM'], ['Marino Gym', '3', '11/03/2022 07:50 AM'], ['Marino 3rd Floor Weights', '23', '11/03/2022 08:24 AM'], ['Marino 3rd Floor Cardio', '9', '11/03/2022 08:24 AM'], ['Marino Track', '1', '11/03/2022 08:24 AM'], ['Squashbusters', '22', '11/02/2022 10:01 PM']]
[['Marino 2nd Floor', '29', '11/03/2022 09:55 AM'], ['Marino Gym', '4', '11/03/2022 09:55 AM'], ['Marino 3rd Floor Weights', '36', '11/03/2022 09:55 AM'], ['Marino 3rd Floor Cardio', '14', '11/03/2022 09:55 AM'], ['Marino Track', '2', '11/03/2022 09:55 AM'], ['Squashbusters', '11', '11/03/2022 09:32 AM']]
[['Marino 2nd Floor', '37', '11/03/2022 10:53 AM'], ['Marino Gym', '7', '11/03/2022 10:53 AM'], ['Marino 3rd Floor Weights', '35', '11/03/2022 10:26 AM'], ['Marino 3rd Floor Cardio', '13', '11/03/2022 10:27 AM'], ['Marino Track', '2', '11/03/2022 10:27 AM'], ['Squashbusters', '30', '11/03/2022 10:52 AM']]
[['Marino 2nd Floor', '29', '11/03/2022 11:30 AM'], ['Marino Gym', '3', '11/03/2022 11:30 AM'], ['Marino 3rd Floor Weights', '45', '11/03/2022 11:55 AM'], ['Marino 3rd Floor Cardio', '18', '11/03/2022 11:55 AM'], ['Marino Track', '4', '11/03/2022 11:55 AM'], ['Squashbusters', '30', '11/03/2022 10:52 AM']]
[['Marino 2nd Floor', '27', '11/03/2022 12:09 PM'], ['Marino Gym', '13', '11/03/2022 12:12 PM'], ['Marino 3rd Floor Weights', '43', '11/03/2022 12:36 PM'], ['Marino 3rd Floor Cardio', '38', '11/03/2022 12:36 PM'], ['Marino Track', '6', '11/03/2022 12:36 PM'], ['Squashbusters', '25', '11/03/2022 12:55 PM']]
[['Marino 2nd Floor', '34', '11/03/2022 01:54 PM'], ['Marino Gym', '6', '11/03/2022 01:54 PM'], ['Marino 3rd Floor Weights', '32', '11/03/2022 01:42 PM'], ['Marino 3rd Floor Cardio', '16', '11/03/2022 01:42 PM'], ['Marino Track', '4', '11/03/2022 01:42 PM'], ['Squashbusters', '16', '11/03/2022 01:49 PM']]
[['Marino 2nd Floor', '32', '11/03/2022 02:48 PM'], ['Marino Gym', '14', '11/03/2022 02:48 PM'], ['Marino 3rd Floor Weights', '33', '11/03/2022 02:20 PM'], ['Marino 3rd Floor Cardio', '17', '11/03/2022 02:20 PM'], ['Marino Track', '3', '11/03/2022 02:20 PM'], ['Squashbusters', '16', '11/03/2022 01:49 PM']]
[['Marino 2nd Floor', '45', '11/03/2022 03:54 PM'], ['Marino Gym', '25', '11/03/2022 03:54 PM'], ['Marino 3rd Floor Weights', '35', '11/03/2022 03:34 PM'], ['Marino 3rd Floor Cardio', '17', '11/03/2022 03:34 PM'], ['Marino Track', '5', '11/03/2022 03:34 PM'], ['Squashbusters', '29', '11/03/2022 03:12 PM']]
[['Marino 2nd Floor', '48', '11/03/2022 04:56 PM'], ['Marino Gym', '34', '11/03/2022 04:56 PM'], ['Marino 3rd Floor Weights', '66', '11/03/2022 04:55 PM'], ['Marino 3rd Floor Cardio', '53', '11/03/2022 04:55 PM'], ['Marino Track', '7', '11/03/2022 04:55 PM'], ['Squashbusters', '25', '11/03/2022 04:09 PM']]
[['Marino 2nd Floor', '52', '11/03/2022 05:58 PM'], ['Marino Gym', '45', '11/03/2022 05:58 PM'], ['Marino 3rd Floor Weights', '70', '11/03/2022 05:55 PM'], ['Marino 3rd Floor Cardio', '41', '11/03/2022 05:55 PM'], ['Marino Track', '9', '11/03/2022 05:55 PM'], ['Squashbusters', '34', '11/03/2022 05:56 PM']]
[['Marino 2nd Floor', '47', '11/03/2022 07:58 PM'], ['Marino Gym', '57', '11/03/2022 07:58 PM'], ['Marino 3rd Floor Weights', '61', '11/03/2022 07:52 PM'], ['Marino 3rd Floor Cardio', '44', '11/03/2022 07:52 PM'], ['Marino Track', '11', '11/03/2022 07:52 PM'], ['Squashbusters', '28', '11/03/2022 07:25 PM']]
[['Marino 2nd Floor', '45', '11/03/2022 08:39 PM'], ['Marino Gym', '52', '11/03/2022 08:39 PM'], ['Marino 3rd Floor Weights', '64', '11/03/2022 08:52 PM'], ['Marino 3rd Floor Cardio', '41', '11/03/2022 08:52 PM'], ['Marino Track', '19', '11/03/2022 08:52 PM'], ['Squashbusters', '28', '11/03/2022 08:51 PM']]
[['Marino 2nd Floor', '28', '11/03/2022 09:54 PM'], ['Marino Gym', '48', '11/03/2022 09:54 PM'], ['Marino 3rd Floor Weights', '48', '11/03/2022 09:50 PM'], ['Marino 3rd Floor Cardio', '37', '11/03/2022 09:50 PM'], ['Marino Track', '8', '11/03/2022 09:50 PM'], ['Squashbusters', '28', '11/03/2022 08:51 PM']]
[['Marino 2nd Floor', '28', '11/03/2022 10:55 PM'], ['Marino Gym', '34', '11/03/2022 10:55 PM'], ['Marino 3rd Floor Weights', '55', '11/03/2022 10:53 PM'], ['Marino 3rd Floor Cardio', '38', '11/03/2022 10:53 PM'], ['Marino Track', '6', '11/03/2022 10:53 PM'], ['Squashbusters', '30', '11/03/2022 10:59 PM']]
